Production_ID,Farm_ID,Farmer_ID,Date,Crop,Quantity_Ton,Unit_Price_VND,Revenue_VND,Cost_VND,Profit_VND,AI_Prediction_Accuracy,AI_Error_%,Disease_Risk,Weather_Risk,ESG_Score
P00051,FM044,F044,2025-05-24,Lúa,33.9,28276,958556.3999999999,477922,480634.3999999999,93,7.3,Medium,Low,96
P00052,FM096,F096,2025-06-06,Thanh long,16.8,14920,250656.0,167474,83182.0,88,14.0,Low,Low,84
P00053,FM053,F053,2025-06-13,Thanh long,15.1,16237,245178.69999999998,159151,86027.69999999998,94,6.7,Low,Low,76
P00054,FM078,F078,2025-05-16,Cà phê,39.7,43289,1718573.3,1088036,630537.3,88,13.3,Medium,Low,72
P00055,FM073,F073,2025-02-10,Sầu riêng,41.7,44193,1842848.1,1225376,617472.1000000001,95,5.2,High,Medium,76
P00056,FM015,F015,2025-05-03,Cà phê,32.0,46798,1497536.0,697989,799547.0,94,6.5,High,High,98
P00057,FM077,F077,2025-07-18,Cà phê,25.9,59758,1547732.2,961635,586097.2,90,10.6,Medium,High,76
P00058,FM067,F067,2025-04-27,Sầu riêng,14.6,69659,1017021.4,652118,364903.4,88,12.7,Low,Medium,73
P00059,FM019,F019,2025-11-13,Lúa,46.1,37262,1717778.2,879564,838214.2,98,2.1,High,Medium,95
P00060,FM063,F063,2025-08-21,Thanh long,49.8,51057,2542638.5999999996,1182126,1360512.5999999996,90,11.5,High,Medium,93
P00061,FM033,F033,2025-02-17,Lúa,23.6,47921,1130935.6,523002,607933.6000000001,92,9.2,High,Low,96
P00062,FM051,F051,2025-03-08,Xoài,34.5,30505,1052422.5,627715,424707.5,91,10.5,Low,Medium,91
P00063,FM029,F029,2025-01-01,Sầu riêng,48.3,70746,3417031.8,1555551,1861480.7999999998,89,11.8,High,High,82
P00064,FM064,F064,2025-02-25,Thanh long,43.8,36090,1580742.0,804637,776105.0,92,10.0,Low,Medium,78
P00065,FM077,F077,2025-07-10,Thanh long,38.0,58711,2231018.0,1435347,795671.0,94,6.9,High,Medium,98
P00066,FM078,F078,2025-06-22,Lúa,27.6,29031,801255.6000000001,391903,409352.6000000001,93,8.1,Low,Low,95
P00067,FM063,F063,2025-01-26,Xoài,27.8,26750,743650.0,380355,363295.0,90,11.5,Medium,High,71
P00068,FM071,F071,2025-10-14,Cà phê,35.7,24222,864725.4,498058,366667.4,95,5.4,High,Low,79
P00069,FM052,F052,2025-08-28,Cà phê,42.8,39207,1678059.5999999999,1146121,531938.5999999999,93,7.7,Medium,Medium,83
P00070,FM085,F085,2025-11-11,Cà phê,15.9,51379,816926.1,405055,411871.1,97,3.1,Medium,Low,83
P00071,FM014,F014,2025-04-12,Xoài,4.6,72526,333619.6,173061,160558.59999999998,98,3.0,Medium,Low,88
P00072,FM027,F027,2025-04-02,Sầu riêng,11.4,21487,244951.80000000002,161410,83541.80000000002,95,6.1,Medium,Low,83
P00073,FM028,F028,2025-07-28,Lúa,49.3,49862,2458196.5999999996,1267129,1191067.5999999996,88,13.7,High,High,93
P00074,FM069,F069,2025-03-16,Sầu riêng,5.8,73373,425563.39999999997,230358,195205.39999999997,95,5.5,High,Low,80
P00075,FM020,F020,2025-02-28,Sầu riêng,4.7,30423,142988.1,98138,44850.100000000006,95,6.6,High,Medium,93
P00076,FM026,F026,2025-03-24,Xoài,7.4,39649,293402.60000000003,170960,122442.60000000003,92,8.2,High,Medium,82
P00077,FM079,F079,2025-06-16,Thanh long,35.9,34534,1239770.5999999999,708564,531206.5999999999,97,3.6,High,Medium,95
P00078,FM058,F058,2025-04-15,Sầu riêng,15.1,80793,1219974.3,607283,612691.3,89,12.4,Low,Low,91
P00079,FM060,F060,2025-07-25,Thanh long,11.9,28412,338102.8,214254,123848.79999999999,88,12.7,High,Medium,95
P00080,FM029,F029,2025-10-15,Cà phê,39.6,33568,1329292.8,811622,517670.80000000005,95,5.7,High,Low,91
P00081,FM037,F037,2025-01-18,Sầu riêng,21.8,83233,1814479.4000000001,1061111,753368.4000000001,89,12.0,Medium,Medium,84
P00082,FM051,F051,2025-10-13,Sầu riêng,30.3,18570,562671.0,370880,191791.0,91,11.0,High,Low,98
P00083,FM008,F008,2025-02-25,Sầu riêng,38.3,52478,2009907.4,1266106,743801.3999999999,93,8.1,High,High,87
P00084,FM097,F097,2025-04-21,Cà phê,29.5,74956,2211202.0,1539158,672044.0,89,11.9,Low,High,75
P00085,FM051,F051,2025-01-06,Xoài,42.7,33412,1426692.4000000001,874191,552501.4000000001,94,6.8,Medium,Low,74
P00086,FM040,F040,2025-05-16,Cà phê,7.2,46692,336182.4,155896,180286.40000000002,91,10.6,Low,High,98
P00087,FM088,F088,2025-05-07,Lúa,43.2,84295,3641544.0000000005,2421612,1219932.0000000005,93,7.1,Medium,Low,80
P00088,FM005,F005,2025-06-04,Cà phê,2.1,47945,100684.5,53654,47030.5,90,11.7,Medium,Low,98
P00089,FM083,F083,2025-02-13,Lúa,27.1,76452,2071849.2000000002,1048763,1023086.2000000002,95,6.3,Medium,High,94
P00090,FM080,F080,2025-02-06,Cà phê,45.2,67312,3042502.4000000004,1974784,1067718.4000000004,94,6.8,Low,Low,70
P00091,FM026,F026,2025-06-10,Thanh long,28.6,73068,2089744.8,1430310,659434.8,98,2.3,Medium,Low,81
P00092,FM089,F089,2025-01-22,Cà phê,45.7,33370,1525009.0,807712,717297.0,95,5.2,High,High,83
P00093,FM098,F098,2025-04-15,Cà phê,15.4,23772,366088.8,233928,132160.8,91,10.2,Low,High,91
P00094,FM040,F040,2025-09-28,Cà phê,14.2,25087,356235.39999999997,218451,137784.39999999997,88,12.5,Medium,High,77
P00095,FM038,F038,2025-03-25,Thanh long,45.3,54426,2465497.8,1465347,1000150.7999999998,92,8.9,Medium,Medium,83
P00096,FM046,F046,2025-01-12,Lúa,23.0,76560,1760880.0,935000,825880.0,93,7.5,Low,Medium,90
P00097,FM043,F043,2025-06-07,Lúa,17.2,43328,745241.6,510885,234356.59999999998,93,8.0,Medium,Low,98
P00098,FM064,F064,2025-02-02,Thanh long,26.9,81586,2194663.4,1466398,728265.3999999999,91,10.3,Medium,Low,84
P00099,FM013,F013,2025-01-17,Cà phê,4.7,54672,256958.40000000002,152544,104414.40000000002,93,7.6,Low,High,78
P00100,FM054,F054,2025-10-26,Lúa,44.2,31510,1392742.0,920100,472642.0,98,2.9,Medium,Low,92
P00101,FM033,F033,2025-01-11,Cà phê,36.9,51831,1912563.9,1026212,886351.8999999999,91,9.1,High,Medium,76
P00102,FM078,F078,2025-02-07,Thanh long,19.8,50937,1008552.6000000001,464859,543693.6000000001,93,7.1,Low,High,80
P00103,FM070,F070,2025-12-19,Thanh long,34.1,32179,1097303.9000000001,565584,531719.9000000001,88,13.6,High,Medium,88
P00104,FM036,F036,2025-12-15,Xoài,7.5,12495,93712.5,53251,40461.5,94,6.7,Medium,Medium,93
P00105,FM090,F090,2025-05-06,Thanh long,35.5,19809,703219.5,398424,304795.5,98,3.7,Low,High,71
P00106,FM100,F100,2025-03-25,Sầu riêng,4.1,73914,303047.39999999997,171769,131278.39999999997,96,4.6,Low,Medium,75
P00107,FM099,F099,2025-05-21,Cà phê,8.9,60120,535068.0,244166,290902.0,96,5.9,Medium,Medium,90
P00108,FM045,F045,2025-11-10,Thanh long,6.2,45421,281610.2,160045,121565.20000000001,97,4.4,Medium,High,93
P00109,FM013,F013,2025-11-26,Thanh long,6.0,35952,215712.0,140359,75353.0,91,9.4,Medium,Low,93
P00110,FM047,F047,2025-08-15,Xoài,39.0,58184,2269176.0,1068135,1201041.0,88,12.4,Medium,Low,93
P00111,FM015,F015,2025-07-06,Sầu riêng,39.3,10877,427466.1,271270,156196.09999999998,97,3.7,High,High,76
P00112,FM007,F007,2025-01-05,Cà phê,19.3,30624,591043.2000000001,287481,303562.20000000007,94,8.0,Low,Low,98
P00113,FM092,F092,2025-04-18,Lúa,10.5,63774,669627.0,368797,300830.0,88,12.7,High,Medium,91
P00114,FM034,F034,2025-08-20,Xoài,2.2,24765,54483.00000000001,31038,23445.000000000007,95,5.4,Low,Medium,87
P00115,FM002,F002,2025-05-22,Cà phê,8.9,45137,401719.3,202965,198754.3,91,9.0,Medium,Medium,92
P00116,FM065,F065,2025-09-28,Xoài,23.8,65947,1569538.6,1098546,470992.6000000001,89,12.2,Medium,Medium,81
P00117,FM010,F010,2025-08-26,Xoài,37.1,68719,2549474.9,1429821,1119653.9,89,12.1,Medium,Low,86
P00118,FM033,F033,2025-10-06,Cà phê,6.1,53758,327923.8,173973,153950.8,98,2.5,Low,Medium,95
P00119,FM001,F001,2025-02-21,Lúa,2.0,72530,145060.0,100310,44750.0,96,5.5,Medium,High,93
P00120,FM073,F073,2025-06-21,Sầu riêng,22.9,12575,287967.5,159224,128743.5,95,6.1,Low,High,76
P00121,FM091,F091,2025-03-10,Thanh long,24.3,35582,864642.6,522455,342187.6,90,11.5,Medium,Low,96
P00122,FM025,F025,2025-08-07,Xoài,47.9,67466,3231621.4,1536670,1694951.4,94,6.9,Low,Medium,95
P00123,FM086,F086,2025-01-24,Cà phê,37.7,62556,2358361.2,1259021,1099340.2000000002,98,3.2,Medium,High,74
P00124,FM091,F091,2025-02-17,Xoài,29.8,24381,726553.8,391474,335079.80000000005,94,6.2,High,Medium,75
P00125,FM065,F065,2025-12-25,Lúa,3.4,45329,154118.6,101924,52194.600000000006,88,12.2,Low,Medium,95
P00126,FM060,F060,2025-09-11,Cà phê,9.1,76739,698324.9,480972,217352.90000000002,98,3.0,Low,Low,76
P00127,FM056,F056,2025-11-18,Lúa,13.1,72034,943645.4,539784,403861.4,98,3.9,Medium,Low,92
P00128,FM090,F090,2025-09-16,Lúa,31.0,28822,893482.0,480210,413272.0,96,4.1,High,Medium,82
P00129,FM074,F074,2025-03-07,Lúa,20.0,52652,1053040.0,500526,552514.0,95,6.0,High,Medium,96
P00130,FM011,F011,2025-06-08,Sầu riêng,16.8,36775,617820.0,408962,208858.0,98,2.8,Medium,Low,86
P00131,FM048,F048,2025-02-01,Thanh long,29.8,57393,1710311.4000000001,844337,865974.4000000001,95,6.0,Low,Medium,83
P00132,FM022,F022,2025-02-19,Lúa,22.9,18519,424085.1,246896,177189.09999999998,93,8.8,Medium,Medium,73
P00133,FM015,F015,2025-04-16,Thanh long,31.4,62759,1970632.5999999999,1340239,630393.5999999999,90,10.1,Low,High,81
P00134,FM023,F023,2025-06-16,Cà phê,10.9,30758,335262.2,174048,161214.2,91,10.7,Medium,Low,76
P00135,FM007,F007,2025-01-25,Lúa,27.0,40764,1100628.0,651364,449264.0,93,8.5,Low,High,98
P00136,FM014,F014,2025-01-23,Thanh long,32.6,45519,1483919.4000000001,720895,763024.4000000001,98,2.0,Low,Low,89
P00137,FM061,F061,2025-05-06,Cà phê,41.4,17264,714729.6,443519,271210.6,98,3.2,Low,High,77
P00138,FM065,F065,2025-11-14,Sầu riêng,12.1,79027,956226.7,635477,320749.69999999995,98,2.6,Low,Medium,71
P00139,FM045,F045,2025-04-28,Sầu riêng,15.3,69373,1061406.9000000001,553161,508245.90000000014,93,7.6,Low,High,94
P00140,FM074,F074,2025-11-28,Thanh long,48.3,15833,764733.8999999999,437520,327213.8999999999,94,6.0,Medium,High,77
P00141,FM012,F012,2025-10-07,Thanh long,39.9,37557,1498524.3,815692,682832.3,90,10.1,Low,Low,84
P00142,FM021,F021,2025-09-11,Lúa,20.6,81863,1686377.8,1061950,624427.8,97,3.1,Medium,High,78
P00143,FM059,F059,2025-12-03,Xoài,11.3,81234,917944.2000000001,444531,473413.20000000007,90,10.4,High,High,82
P00144,FM012,F012,2025-09-11,Sầu riêng,37.8,69130,2613114.0,1510736,1102378.0,91,9.0,Medium,Medium,82
P00145,FM100,F100,2025-07-23,Sầu riêng,28.7,68935,1978434.5,979182,999252.5,96,5.9,Low,High,78
P00146,FM018,F018,2025-01-17,Lúa,7.5,43541,326557.5,222375,104182.5,96,5.7,Low,Medium,80
P00147,FM061,F061,2025-03-26,Thanh long,24.8,68563,1700362.4000000001,931585,768777.4000000001,96,4.5,Low,Low,83
P00148,FM100,F100,2025-09-01,Sầu riêng,41.5,11087,460110.5,307554,152556.5,94,6.4,Medium,High,81
P00149,FM039,F039,2025-07-23,Sầu riêng,11.3,23073,260724.90000000002,158485,102239.90000000002,91,10.7,High,High,71
P00150,FM013,F013,2025-01-12,Sầu riêng,20.5,17810,365105.0,223288,141817.0,91,10.4,Low,Medium,86
P00151,FM031,F031,2025-02-02,Cà phê,45.8,84411,3866023.8,1961780,1904243.7999999998,88,13.4,Low,Medium,92
P00152,FM061,F061,2025-01-04,Xoài,23.3,71888,1674990.4000000001,770629,904361.4000000001,96,4.4,Medium,Medium,73
P00153,FM003,F003,2025-10-19,Sầu riêng,36.0,72660,2615760.0,1251118,1364642.0,90,10.8,Medium,High,77
P00154,FM073,F073,2025-08-26,Thanh long,13.0,11829,153777.0,72591,81186.0,89,11.7,Medium,Low,78
P00155,FM079,F079,2025-05-07,Thanh long,46.2,22601,1044166.2000000001,493677,550489.2000000001,89,13.0,Low,High,84
P00156,FM076,F076,2025-01-04,Lúa,16.9,46907,792728.2999999999,421123,371605.29999999993,94,6.3,High,Medium,83
P00157,FM096,F096,2025-08-12,Thanh long,28.5,37694,1074279.0,684618,389661.0,91,9.4,Low,Low,94
P00158,FM011,F011,2025-11-07,Cà phê,33.7,61655,2077773.5000000002,1238572,839201.5000000002,95,5.8,Medium,High,70
P00159,FM038,F038,2025-11-06,Lúa,49.5,53529,2649685.5,1595250,1054435.5,89,12.6,Low,Low,88
P00160,FM064,F064,2025-07-18,Xoài,15.3,76171,1165416.3,575690,589726.3,94,7.5,High,Low,77
P00161,FM034,F034,2025-10-08,Xoài,6.9,70644,487443.60000000003,321433,166010.60000000003,89,11.2,High,High,73
P00162,FM020,F020,2025-11-11,Cà phê,34.5,61445,2119852.5,1124930,994922.5,92,9.5,Medium,Low,72
P00163,FM084,F084,2025-08-05,Lúa,48.0,37079,1779792.0,900809,878983.0,98,2.7,Low,Low,75
P00164,FM088,F088,2025-02-13,Sầu riêng,28.1,34867,979762.7000000001,554027,425735.70000000007,98,3.9,Low,Medium,76
P00165,FM018,F018,2025-03-15,Lúa,6.0,68516,411096.0,257316,153780.0,91,10.9,Medium,Medium,84
P00166,FM021,F021,2025-05-27,Xoài,3.4,11902,40466.799999999996,22426,18040.799999999996,89,12.4,High,High,89
P00167,FM100,F100,2025-08-11,Sầu riêng,43.6,64605,2816778.0,1688954,1127824.0,94,7.0,Medium,High,98
P00168,FM052,F052,2025-03-10,Cà phê,30.5,18993,579286.5,354996,224290.5,95,6.9,Medium,Low,77
P00169,FM052,F052,2025-02-02,Xoài,16.8,48757,819117.6,546950,272167.6,90,11.0,Low,Medium,76
P00170,FM005,F005,2025-07-20,Sầu riêng,34.1,28359,967041.9,549389,417652.9,98,3.7,Medium,Low,88
P00171,FM086,F086,2025-10-22,Xoài,41.5,14906,618599.0,378514,240085.0,98,2.3,High,Low,76
P00172,FM038,F038,2025-03-17,Thanh long,13.3,38692,514603.60000000003,267922,246681.60000000003,89,11.8,Low,Low,83
P00173,FM050,F050,2025-11-27,Cà phê,22.6,64420,1455892.0,965194,490698.0,89,12.8,Medium,Low,92
P00174,FM021,F021,2025-10-17,Thanh long,26.7,37755,1008058.5,597048,411010.5,92,9.8,Medium,Low,91
P00175,FM056,F056,2025-01-24,Thanh long,11.2,20656,231347.19999999998,111448,119899.19999999998,97,4.9,Low,High,93
P00176,FM013,F013,2025-12-15,Sầu riêng,22.2,18314,406570.8,257371,149199.8,91,9.8,High,Low,73
P00177,FM008,F008,2025-06-22,Lúa,31.9,62470,1992793.0,1013591,979202.0,90,10.0,High,Low,90
P00178,FM071,F071,2025-01-01,Sầu riêng,47.4,71883,3407254.1999999997,2161701,1245553.1999999997,89,12.2,Medium,High,72
P00179,FM034,F034,2025-03-01,Cà phê,30.7,23979,736155.2999999999,471157,264998.29999999993,94,7.7,High,High,83
P00180,FM060,F060,2025-07-14,Sầu riêng,27.0,21729,586683.0,397155,189528.0,91,10.6,Low,High,97
P00181,FM029,F029,2025-07-13,Sầu riêng,38.0,19912,756656.0,510546,246110.0,93,8.1,Medium,Medium,75
P00182,FM097,F097,2025-03-24,Thanh long,41.4,60352,2498572.8,1642296,856276.7999999998,88,13.4,Low,High,77
P00183,FM007,F007,2025-10-15,Sầu riêng,18.5,20708,383098.0,257381,125717.0,92,8.8,High,High,97
P00184,FM041,F041,2025-08-04,Xoài,2.7,43060,116262.00000000001,74560,41702.000000000015,94,7.7,Medium,Medium,78
P00185,FM030,F030,2025-04-26,Cà phê,6.7,11114,74463.8,51052,23411.800000000003,96,5.1,Medium,Medium,98
P00186,FM018,F018,2025-01-13,Thanh long,45.8,52024,2382699.1999999997,1085086,1297613.1999999997,92,8.2,High,Low,80
P00187,FM018,F018,2025-05-28,Lúa,24.6,65080,1600968.0,896452,704516.0,91,9.9,Medium,Low,90
P00188,FM095,F095,2025-09-28,Xoài,14.2,33794,479874.8,226410,253464.8,89,12.5,Medium,Low,98
P00189,FM054,F054,2025-10-07,Cà phê,21.5,74099,1593128.5,894373,698755.5,97,4.4,Low,High,92
P00190,FM099,F099,2025-04-14,Thanh long,39.1,61177,2392020.7,1554808,837212.7000000002,89,11.0,Medium,Low,78
P00191,FM003,F003,2025-10-15,Cà phê,28.8,18286,526636.8,298066,228570.80000000005,89,12.9,Low,Medium,86
P00192,FM043,F043,2025-08-28,Sầu riêng,36.7,62946,2310118.2,1593759,716359.2000000002,97,3.2,Medium,Medium,97
P00193,FM077,F077,2025-07-03,Xoài,34.6,60513,2093749.8,1076406,1017343.8,94,6.3,Low,High,72
P00194,FM091,F091,2025-05-05,Sầu riêng,27.5,66135,1818712.5,867653,951059.5,90,10.8,High,High,79
P00195,FM071,F071,2025-07-19,Thanh long,35.4,68566,2427236.4,1092690,1334546.4,97,4.3,High,Medium,81
P00196,FM006,F006,2025-12-12,Sầu riêng,13.9,22960,319144.0,161673,157471.0,95,6.7,Medium,Low,82
P00197,FM044,F044,2025-07-05,Thanh long,17.0,66145,1124465.0,613127,511338.0,95,6.5,High,Medium,76
P00198,FM034,F034,2025-10-25,Cà phê,16.8,42642,716385.6,355659,360726.6,97,4.4,High,Medium,85
P00199,FM038,F038,2025-10-20,Cà phê,47.9,44260,2120054.0,1396993,723061.0,97,3.3,Medium,High,81
P00200,FM095,F095,2025-03-13,Cà phê,40.6,46253,1877871.8,1240156,637715.8,97,3.1,Medium,High,93
P00201,FM014,F014,2025-02-23,Lúa,40.0,8823,352920.0,211963,140957.0,94,6.4,Medium,Low,97
P00202,FM086,F086,2025-05-07,Thanh long,46.1,17527,807994.7000000001,410659,397335.70000000007,98,2.1,High,Medium,86
P00203,FM032,F032,2025-06-03,Sầu riêng,40.1,39936,1601433.6,916634,684799.6000000001,97,3.2,High,Low,97
P00204,FM090,F090,2025-12-08,Cà phê,39.0,75502,2944578.0,1502858,1441720.0,91,9.0,High,Low,79
P00205,FM100,F100,2025-08-01,Sầu riêng,16.0,69749,1115984.0,657678,458306.0,97,4.3,High,Low,96
P00206,FM082,F082,2025-11-28,Cà phê,49.7,28191,1401092.7000000002,828083,573009.7000000002,91,9.1,Medium,High,91
P00207,FM038,F038,2025-10-06,Xoài,18.9,19637,371139.3,176597,194542.3,92,8.9,Low,High,73
P00208,FM091,F091,2025-07-20,Sầu riêng,16.0,41411,662576.0,382338,280238.0,94,7.6,High,Medium,90
P00209,FM072,F072,2025-01-27,Lúa,49.8,47193,2350211.4,1643758,706453.3999999999,88,12.9,Medium,High,75
P00210,FM068,F068,2025-05-23,Cà phê,25.6,66820,1710592.0,843532,867060.0,93,8.4,High,High,88
P00211,FM027,F027,2025-12-25,Lúa,31.7,24972,791612.4,418964,372648.4,97,3.4,High,Medium,95
P00212,FM012,F012,2025-12-22,Sầu riêng,11.5,76450,879175.0,512604,366571.0,97,3.9,High,Low,84
P00213,FM064,F064,2025-09-28,Cà phê,46.6,9108,424432.8,238915,185517.8,97,4.1,High,Low,90
P00214,FM026,F026,2025-03-05,Sầu riêng,30.7,45588,1399551.5999999999,720551,679000.5999999999,93,7.9,High,Medium,72
P00215,FM090,F090,2025-10-20,Xoài,5.3,84342,447012.6,311423,135589.59999999998,92,9.7,Medium,High,93
P00216,FM011,F011,2025-03-01,Thanh long,37.0,79565,2943905.0,1612715,1331190.0,92,9.0,Medium,High,87
P00217,FM074,F074,2025-02-04,Thanh long,34.0,75247,2558398.0,1472141,1086257.0,90,11.3,Medium,Low,92
P00218,FM088,F088,2025-10-25,Cà phê,2.1,15358,32251.800000000003,19363,12888.800000000003,95,5.8,High,Medium,98
P00219,FM009,F009,2025-03-26,Xoài,16.1,65001,1046516.1000000001,622377,424139.1000000001,92,9.7,High,Medium,97
P00220,FM062,F062,2025-09-26,Thanh long,41.5,30704,1274216.0,692914,581302.0,97,3.5,Medium,Medium,85
P00221,FM068,F068,2025-01-27,Cà phê,39.0,65405,2550795.0,1458183,1092612.0,91,10.1,Medium,High,71
P00222,FM045,F045,2025-12-15,Cà phê,2.5,50086,125215.0,83537,41678.0,95,5.2,Low,High,93
P00223,FM037,F037,2025-09-12,Cà phê,15.3,80614,1233394.2,796529,436865.19999999995,90,11.9,Low,Medium,96
